date;day_text;footnote
2026-01-03;\FullMoon;
2026-01-10;\LastQuarter;
2026-01-18;\NewMoon;
2026-01-25;\FirstQuarter;
2026-02-01;\FullMoon;
2026-02-09;\LastQuarter;
2026-02-17;\NewMoon;
2026-02-24;\FirstQuarter;
2026-03-03;\FullMoon;
2026-03-11;\LastQuarter;
2026-03-18;\NewMoon;
2026-03-25;\FirstQuarter;
2026-04-01;\FullMoon;
2026-04-09;\LastQuarter;
2026-04-17;\NewMoon;
2026-04-23;\FirstQuarter;
2026-05-01;\FullMoon;
2026-05-09;\LastQuarter;
2026-05-16;\NewMoon;
2026-05-23;\FirstQuarter;
2026-05-31;\FullMoon;
2026-06-08;\LastQuarter;
2026-06-14;\NewMoon;
2026-06-21;\FirstQuarter;
2026-06-29;\FullMoon;
2026-07-08;\LastQuarter;
2026-07-14;\NewMoon;
2026-07-21;\FirstQuarter;
2026-07-29;\FullMoon;
2026-08-05;\LastQuarter;
2026-08-14;\NewMoon;
2026-08-21;\FirstQuarter;
2026-08-29;\FullMoon;
2026-09-04;\LastQuarter;
2026-09-10;\NewMoon;
2026-09-18;\FirstQuarter;
2026-09-26;\FullMoon;
2026-10-03;\LastQuarter;
2026-10-10;\NewMoon;
2026-10-18;\FirstQuarter;
2026-10-25;\FullMoon;
2026-11-01;\LastQuarter;
2026-11-08;\NewMoon;
2026-11-17;\FirstQuarter;
2026-11-24;\FullMoon;
2026-11-30;\LastQuarter;
2026-12-08;\NewMoon;
2026-12-16;\FirstQuarter;
2026-12-23;\FullMoon;
2026-12-30;\LastQuarter;
